variable,measure,country,year,value,percentincrease,increase
Total population at birth,Years,Greece,1987,76.3,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,1988,76.8,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,1989,77,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,1990,77.1,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,1991,77.3,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,1992,77.2,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,1993,77.6,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,1994,77.8,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,1995,77.8,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,1996,78,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,1997,78.4,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,1998,78.4,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,1999,78.5,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,2000,78.6,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,2001,79.1,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,2002,79.2,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,2003,79.3,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,2004,79.4,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,2005,79.7,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,2006,79.9,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,2007,79.7,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,2008,80.3,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,2009,80.4,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,2010,80.7,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,2011,80.8,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,2012,80.7,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,2013,81.4,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,2014,81.5,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,2015,81.1,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,2016,81.5,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,2017,81.4,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,2018,81.9,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,2019,81.7,12.77777778,10 <= % <= 15
Total population at birth,Years,Greece,2020,81.2,12.77777778,10 <= % <= 15
Total population at birth,Years,Hungary,1960,68.1,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1961,69,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1962,67.9,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1963,69,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1964,69.5,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1965,69.1,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1966,69.9,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1967,69.5,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1968,69.3,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1969,69.4,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1970,69.2,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1971,69.1,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1972,69.8,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1973,69.6,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1974,69.3,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1975,69.4,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1976,69.7,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1977,70,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1978,69.5,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1979,69.7,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1980,69.2,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1981,69.3,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1982,69.5,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1983,69.1,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1984,69.2,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1985,69.2,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1986,69.3,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1987,69.8,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1988,70.2,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1989,69.6,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1990,69.5,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1991,69.6,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1992,69.4,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1993,69.4,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1994,69.8,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1995,70.1,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1996,70.7,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1997,71.1,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1998,71.1,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,1999,71.2,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,2000,71.9,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,2001,72.5,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,2002,72.5,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,2003,72.6,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,2004,73,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,2005,73,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,2006,73.5,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,2007,73.6,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,2008,74.2,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,2009,74.4,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,2010,74.7,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,2011,75,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,2012,75.2,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,2013,75.7,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,2014,75.9,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,2015,75.7,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,2016,76.2,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,2017,75.9,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,2018,76.2,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,2019,76.4,11.16005874,10 <= % <= 15
Total population at birth,Years,Hungary,2020,75.7,11.16005874,10 <= % <= 15
Total population at birth,Years,Iceland,1961,73.6,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1962,73.8,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1963,73.2,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1964,73.6,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1965,73.9,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1966,73.4,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1967,73.9,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1968,74.1,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1969,73.8,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1970,74,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1971,73.7,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1972,74.5,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1973,74.6,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1974,74.6,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1975,75.7,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1976,77.1,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1977,76.5,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1978,76.7,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1980,77,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1981,76.6,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1982,77.1,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1983,77,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1984,77.7,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1985,77.7,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1986,78.1,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1987,77.4,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1988,77.2,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1989,78.2,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1990,78.1,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1991,78.1,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1992,78.8,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1993,79,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1994,79.3,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1995,78.1,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1996,78.9,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1997,79,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1998,79.7,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,1999,79.4,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,2000,79.7,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,2001,80.8,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,2002,80.6,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,2003,81,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,2004,81.1,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,2005,81.6,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,2006,81.2,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,2007,81.5,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,2008,81.7,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,2009,81.8,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,2010,82,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,2011,82.4,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,2012,83,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,2013,82.1,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,2014,82.9,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,2015,82.5,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,2016,82.3,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,2017,82.7,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,2018,82.9,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,2019,83.2,12.9076087,10 <= % <= 15
Total population at birth,Years,Iceland,2020,83.1,12.9076087,10 <= % <= 15
Total population at birth,Years,Italy,1961,69.8,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1971,72,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1974,72.6,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1975,72.7,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1976,72.8,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1977,73.4,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1978,73.8,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1979,74.1,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1980,74,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1981,74.3,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1982,74.7,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1983,74.8,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1984,75,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1985,75.6,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1986,75.9,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1987,76.3,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1988,76.5,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1989,76.9,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1990,77.1,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1991,77.1,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1992,77.5,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1993,77.8,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1994,78,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1995,78.3,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1996,78.6,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1997,78.9,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1998,79.1,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,1999,79.5,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,2000,79.9,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,2001,80.2,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,2002,80.3,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,2003,80.1,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,2004,80.9,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,2005,80.9,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,2006,81.4,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,2007,81.5,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,2008,81.6,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,2009,81.7,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,2010,82.1,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,2011,82.3,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,2012,82.3,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,2013,82.8,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,2014,83.2,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,2015,82.6,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,2016,83.3,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,2017,83,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,2018,83.4,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,2019,83.6,18.05157593,15 <= % <= 20
Total population at birth,Years,Italy,2020,82.4,18.05157593,15 <= % <= 20
Total population at birth,Years,Netherlands,1960,73.5,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1961,73.8,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1962,73.4,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1963,73.4,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1964,73.8,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1965,73.6,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1966,73.6,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1967,73.9,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1968,73.7,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1969,73.6,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1970,73.7,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1971,73.9,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1972,73.8,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1973,74.2,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1974,74.6,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1975,74.6,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1976,74.7,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1977,75.3,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1978,75.3,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1979,75.7,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1980,75.9,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1981,76,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1982,76.1,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1983,76.3,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1984,76.4,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1985,76.5,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1986,76.4,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1987,76.9,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1988,77.1,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1989,76.9,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1990,77,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1991,77.2,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1992,77.4,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1993,77.1,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1994,77.5,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1995,77.6,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1996,77.6,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1997,78,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1998,78,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,1999,77.9,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,2000,78.2,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,2001,78.3,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,2002,78.4,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,2003,78.7,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,2004,79.2,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,2005,79.5,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,2006,79.9,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,2007,80.3,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,2008,80.5,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,2009,80.8,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,2010,81,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,2011,81.3,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,2012,81.2,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,2013,81.4,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,2014,81.8,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,2015,81.6,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,2016,81.6,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,2017,81.8,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,2018,81.9,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,2019,82.2,10.88435374,10 <= % <= 15
Total population at birth,Years,Netherlands,2020,81.5,10.88435374,10 <= % <= 15
Total population at birth,Years,Norway,1960,73.8,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1961,73.8,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1962,73.7,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1963,73.4,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1964,73.9,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1965,74,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1966,74.3,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1967,74.3,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1968,74.2,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1969,74,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1970,74.4,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1971,74.4,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1972,74.6,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1973,74.7,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1974,75.1,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1975,75.1,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1976,75.3,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1977,75.7,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1978,75.8,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1979,75.8,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1980,75.9,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1981,76.1,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1982,76.2,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1983,76.3,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1984,76.4,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1985,76.1,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1986,76.5,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1987,76.3,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1988,76.4,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1989,76.7,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1990,76.7,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1991,77.1,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1992,77.4,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1993,77.3,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1994,77.9,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1995,77.9,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1996,78.3,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1997,78.3,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1998,78.5,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,1999,78.4,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,2000,78.8,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,2001,78.9,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,2002,79,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,2003,79.6,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,2004,80.1,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,2005,80.3,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,2006,80.6,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,2007,80.6,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,2008,80.8,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,2009,81,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,2010,81.2,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,2011,81.4,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,2012,81.5,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,2013,81.8,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,2014,82.2,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,2015,82.4,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,2016,82.5,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,2017,82.7,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,2018,82.8,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,2019,83,12.87262873,10 <= % <= 15
Total population at birth,Years,Norway,2020,83.3,12.87262873,10 <= % <= 15
Total population at birth,Years,Poland,1960,67.8,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1961,67.8,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1962,67.5,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1963,68.5,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1964,68.7,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1965,69.5,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1966,69.9,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1967,69.5,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1968,70.3,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1969,69.8,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1970,70,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1971,69.7,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1972,70.7,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1973,70.7,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1974,71.2,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1975,70.6,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1976,70.7,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1977,70.5,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1978,70.4,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1979,70.9,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1980,70.2,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1981,71.2,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1982,71.2,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1983,71.1,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1984,70.9,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1985,71.1,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1986,71,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1987,71.5,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1988,71.5,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1989,71.2,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1990,70.8,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1991,70.5,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1992,71.1,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1993,71.6,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1994,71.8,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1995,72.1,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1996,72.4,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1997,72.8,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1998,73.2,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,1999,73.2,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,2000,73.8,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,2001,74.2,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,2002,74.6,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,2003,74.7,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,2004,74.9,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,2005,75.1,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,2006,75.3,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,2007,75.4,13.12684366,10 <= % <= 15
